judul,genre,year
Trippin',Comedy,1999
After Life (Wandafuru raifu),Drama|Fantasy,1998
Black Mask (Hak hap),Action|Adventure|Crime|Sci-Fi|Thriller,1996
Star Wars: Episode I - The Phantom Menace,Action|Adventure|Sci-Fi,1999
"Love Letter, The",Comedy|Romance,1999
Besieged (a.k.a. L' Assedio),Drama,1998
"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie)",Adventure|Drama|Mystery,1965
Mommie Dearest,Drama,1981
Superman,Action|Adventure|Sci-Fi,1978
Superman II,Action|Sci-Fi,1980
Superman III,Action|Adventure|Sci-Fi,1983
Superman IV: The Quest for Peace,Action|Adventure|Sci-Fi,1987
Dracula,Horror,1931
Frankenstein,Drama|Horror|Sci-Fi,1931
Frankenstein Meets the Wolf Man,Horror,1943
"Curse of Frankenstein, The",Horror,1957
"Wolf Man, The",Drama|Fantasy|Horror,1941
Howling II: Your Sister Is a Werewolf,Horror,1985
Tarantula,Horror|Sci-Fi,1955
"Rocky Horror Picture Show, The",Comedy|Horror|Musical|Sci-Fi,1975
It Came from Hollywood,Comedy|Documentary,1982
"Thing from Another World, The",Horror|Sci-Fi,1951
It Came from Outer Space,Sci-Fi,1953
"War of the Worlds, The",Action|Drama|Sci-Fi,1953
Invasion of the Body Snatchers,Horror|Sci-Fi|Thriller,1956
Earth vs. the Flying Saucers,Sci-Fi,1956
Swamp Thing,Horror|Sci-Fi,1982
Pork Chop Hill,War,1959
Run Silent Run Deep,War,1958
Notting Hill,Comedy|Romance,1999
"Thirteenth Floor, The",Drama|Sci-Fi|Thriller,1999
"Loss of Sexual Innocence, The",Drama|Fantasy,1999
Instinct,Drama|Thriller,1999
Buena Vista Social Club,Documentary|Musical,1999
Free Enterprise,Comedy|Romance|Sci-Fi,1998
Limbo,Drama,1999
Austin Powers: The Spy Who Shagged Me,Action|Adventure|Comedy,1999
"Red Violin, The (Violon rouge, Le)",Drama|Mystery,1998
Tarzan,Adventure|Animation|Children|Drama,1999
"General's Daughter, The",Crime|Drama|Mystery|Thriller,1999
"Ideal Husband, An",Comedy|Romance,1999
"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano)",Drama,1998
Run Lola Run (Lola rennt),Action|Crime,1998
Trekkies,Documentary,1997
Big Daddy,Comedy,1999
"Boys, The",Drama,1998
"Dinner Game, The (Dîner de cons, Le)",Comedy,1998
My Son the Fanatic,Comedy|Drama|Romance,1997
Zone 39,Sci-Fi,1997
Arachnophobia,Comedy|Horror,1990
"South Park: Bigger, Longer and Uncut",Animation|Comedy|Musical,1999
Wild Wild West,Action|Comedy|Sci-Fi|Western,1999
Summer of Sam,Drama,1999
American Pie,Comedy|Romance,1999
Arlington Road,Thriller,1999
"Autumn Tale, An (Conte d'automne)",Romance,1998
Muppets From Space,Children|Comedy,1999
"Blair Witch Project, The",Drama|Horror|Thriller,1999
Eyes Wide Shut,Drama|Mystery|Thriller,1999
Lake Placid,Horror|Thriller,1999
Ghostbusters (a.k.a. Ghost Busters),Action|Comedy|Sci-Fi,1984
Ghostbusters II,Comedy|Fantasy|Sci-Fi,1989
Drop Dead Gorgeous,Comedy,1999
Inspector Gadget,Action|Adventure|Children|Comedy,1999
Deep Blue Sea,Action|Horror|Sci-Fi|Thriller,1999
Mystery Men,Action|Comedy|Fantasy,1999
Runaway Bride,Comedy|Romance,1999
Twin Falls Idaho,Drama,1999
"Killing, The",Crime|Film-Noir,1956
Killer's Kiss,Crime|Film-Noir,1955
Spartacus,Action|Drama|Romance|War,1960
Barry Lyndon,Drama|Romance|War,1975
"400 Blows, The (Les quatre cents coups)",Crime|Drama,1959
Jules and Jim (Jules et Jim),Drama|Romance,1961
Vibes,Adventure|Comedy|Romance,1988
"Mosquito Coast, The",Adventure|Drama|Thriller,1986
"Golden Child, The",Action|Adventure|Comedy|Fantasy|Mystery,1986
Brighton Beach Memoirs,Comedy,1986
Assassination,Action|Drama|Thriller,1987
Crimes of the Heart,Comedy|Drama,1986
"Color Purple, The",Drama,1985
"Kindred, The",Horror|Sci-Fi,1986
No Mercy,Action|Crime|Thriller,1986
Ménage (Tenue de soirée),Comedy|Drama,1986
Native Son,Drama,1986
Otello,Drama,1986
"Mission, The",Drama,1986
Little Shop of Horrors,Comedy|Horror|Musical,1986
"Little Shop of Horrors, The",Comedy|Horror,1960
Allan Quatermain and the Lost City of Gold,Action|Adventure|Comedy,1987
"Morning After, The",Drama|Mystery,1986
Radio Days,Comedy|Drama,1987
From the Hip,Comedy|Drama,1987
Outrageous Fortune,Comedy|Mystery,1987
Deadtime Stories,Horror,1987
Frances,Drama,1982
Dick,Comedy,1999
"Iron Giant, The",Adventure|Animation|Children|Drama|Sci-Fi,1999
"Sixth Sense, The",Drama|Horror|Mystery,1999
"Thomas Crown Affair, The",Action|Mystery,1999
"Acid House, The",Comedy|Drama,1998
"Adventures of Sebastian Cole, The",Comedy|Drama,1998
"Yards, The",Crime|Drama,2000
Bowfinger,Comedy,1999
Brokedown Palace,Drama,1999
Detroit Rock City,Comedy,1999
Better Than Chocolate,Comedy|Romance,1999
Head On,Drama,1998
Heaven Can Wait,Comedy,1978
Pit and the Pendulum,Horror,1961
"Masque of the Red Death, The",Horror,1964
Haunted Honeymoon,Comedy,1986
Cat's Eye,Horror,1985
Monty Python's And Now for Something Completely Different,Comedy,1971
Damien: Omen II,Horror,1978
"Final Conflict, The (a.k.a. Omen III: The Final Conflict)",Horror|Thriller,1981
Airplane!,Comedy,1980
Airplane II: The Sequel,Comedy,1982
"American Werewolf in Paris, An",Comedy|Horror|Romance|Thriller,1997
European Vacation (aka National Lampoon's European Vacation),Adventure|Comedy|Romance,1985
National Lampoon's Vacation,Comedy,1983
Funny Farm,Comedy,1988
Big,Comedy|Drama|Fantasy|Romance,1988
Problem Child,Children|Comedy,1990
Problem Child 2,Comedy,1991
Little Nemo: Adventures in Slumberland,Adventure|Animation|Children|Drama|Fantasy,1992
Oscar and Lucinda (a.k.a. Oscar & Lucinda),Drama|Romance,1997
Tequila Sunrise,Action|Drama|Romance|Thriller,1988
"Pelican Brief, The",Crime|Drama|Mystery|Romance|Thriller,1993
"Christmas Story, A",Children|Comedy,1983
Mickey Blue Eyes,Comedy|Romance,1999
Teaching Mrs. Tingle,Comedy|Thriller,1999
Universal Soldier: The Return,Action|Sci-Fi,1999
Universal Soldier,Action|Sci-Fi,1992
Perfect Blue,Animation|Horror|Mystery|Thriller,1997
In Too Deep,Action|Thriller,1999
"Source, The",Documentary,1999
Iron Eagle,Action|War,1986
Iron Eagle II,Action|War,1988
Aces: Iron Eagle III,Action,1992
Iron Eagle IV,Action|War,1995
Three Days of the Condor (3 Days of the Condor),Drama|Mystery|Romance|Thriller,1975
Medicine Man,Adventure|Romance,1992
On the Ropes,Documentary|Drama,1999
"13th Warrior, The",Action|Adventure|Fantasy,1999
"Astronaut's Wife, The",Horror|Sci-Fi|Thriller,1999
Dudley Do-Right,Children|Comedy,1999
"Muse, The",Comedy,1999
Chill Factor,Action|Adventure|Comedy|Thriller,1999
Outside Providence,Comedy,1999
Bedrooms & Hallways,Comedy|Romance,1998
West Beirut (West Beyrouth),Drama,1998
Stigmata,Drama|Thriller,1999
Stir of Echoes,Horror|Mystery|Thriller,1999
"Black Cat, White Cat (Crna macka, beli macor)",Comedy|Romance,1998
"Minus Man, The",Drama|Mystery,1999
"Adventures of Milo and Otis, The (Koneko monogatari)",Adventure|Children|Comedy|Drama,1986
Only Angels Have Wings,Adventure|Drama|Romance,1939
"Othello (Tragedy of Othello: The Moor of Venice, The)",Drama,1952
Saturn 3,Adventure|Sci-Fi|Thriller,1980
"Soldier's Story, A",Drama,1984
I Saw What You Did,Thriller,1965
Yellow Submarine,Adventure|Animation|Comedy|Fantasy|Musical,1968
American Beauty,Drama|Romance,1999
Stop Making Sense,Documentary|Musical,1984
Blue Streak,Comedy,1999
For Love of the Game,Comedy|Drama,1999
Caligula,Drama,1979
"Hard Day's Night, A",Adventure|Comedy|Musical,1964
Sugar Town,Comedy,1999
"Buddy Holly Story, The",Drama,1978
Fright Night,Comedy|Horror|Thriller,1985
Fright Night Part II,Horror,1988
Barefoot in the Park,Comedy,1967
Deliverance,Adventure|Drama|Thriller,1972
Excalibur,Adventure|Fantasy,1981
"Pajama Game, The",Comedy|Musical|Romance,1957
Sommersby,Drama|Mystery|Romance,1993
Thumbelina,Animation|Children|Fantasy,1994
Tommy,Musical,1975
Hell Night,Horror,1981
Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak),Action|Adventure|Comedy,1991
Armour of God (Long xiong hu di),Action|Adventure|Comedy,1987
Double Jeopardy,Action|Crime|Drama|Thriller,1999
Jakob the Liar,Drama,1999
Mumford,Comedy|Drama,1999
Dog Park,Comedy|Romance,1998
Guinevere,Drama|Romance,1999
"Adventures of Elmo in Grouchland, The",Children|Comedy,1999
Simon Sez,Action|Comedy,1999
Drive Me Crazy,Comedy|Romance,1999
"Mystery, Alaska",Comedy|Drama,1999
Three Kings,Action|Adventure|Comedy|Drama|War,1999
"Happy, Texas",Comedy,1999
New Rose Hotel,Action|Drama,1998
Plunkett & MaCleane,Action|Adventure|Drama,1999
Romance,Drama|Romance,1999
Alvarez Kelly,Western,1966
And the Ship Sails On (E la nave va),Comedy|War,1983
"Dark Half, The",Horror|Mystery,1993
Gulliver's Travels,Adventure|Animation|Children,1939
Monkey Shines,Horror|Sci-Fi,1988
Phantasm,Horror|Sci-Fi,1979
Psycho II,Horror|Mystery|Thriller,1983
Psycho III,Horror|Thriller,1986
Sanjuro (Tsubaki Sanjûrô),Action|Adventure|Drama,1962
Random Hearts,Drama|Romance,1999
Superstar,Comedy,1999
Boys Don't Cry,Drama,1999
"Limey, The",Crime|Drama|Thriller,1999
Risky Business,Comedy,1983
Total Recall,Action|Adventure|Sci-Fi|Thriller,1990
Body Heat,Crime|Thriller,1981
Ferris Bueller's Day Off,Comedy,1986
"Year of Living Dangerously, The",Drama|Romance|War,1982
High Plains Drifter,Western,1973
Hang 'Em High,Crime|Drama|Western,1968
Drunken Master (Jui kuen),Action|Comedy,1978
"Conformist, The (Conformista, Il)",Drama,1970
Hairspray,Comedy|Drama,1988
Brief Encounter,Drama|Romance,1946
"Razor's Edge, The",Drama,1984
Reds,Drama|Romance,1981
Return with Honor,Documentary,1998
Time of the Gypsies (Dom za vesanje),Comedy|Crime|Drama|Fantasy,1989
Days of Heaven,Drama,1978
"Lady Eve, The",Comedy|Romance,1941
Sullivan's Travels,Adventure|Comedy|Romance,1941
"Palm Beach Story, The",Comedy,1942
Niagara,Drama|Thriller,1953
Gilda,Drama|Film-Noir|Mystery|Romance,1946
South Pacific,Musical|Romance|War,1958
Flashdance,Drama|Romance,1983
Indochine,Drama|Romance,1992
"Dirty Dozen, The",Action|Drama|War,1967
Help!,Comedy|Musical,1965
Goldfinger,Action|Adventure|Thriller,1964
From Russia with Love,Action|Adventure|Thriller,1963
Dr. No,Action|Adventure|Thriller,1962
"Blue Lagoon, The",Adventure|Drama|Romance,1980
"Fistful of Dollars, A (Per un pugno di dollari)",Action|Western,1964
Sydney (Hard Eight),Crime|Drama|Thriller,1996
Home Alone 2: Lost in New York,Children|Comedy,1992
Someone to Watch Over Me,Action|Crime|Thriller,1987
Fight Club,Action|Crime|Drama|Thriller,1999
"Story of Us, The",Comedy|Drama,1999
Fever Pitch,Comedy|Romance,1997
Julien Donkey-Boy,Drama,1999
"Omega Code, The",Action,1999
"Straight Story, The",Adventure|Drama,1999
"Bad Seed, The",Drama|Thriller,1956
Time Bandits,Adventure|Comedy|Fantasy|Sci-Fi,1981
"Man and a Woman, A (Un homme et une femme)",Drama|Romance,1966
Fitzcarraldo,Adventure|Drama,1982
All That Jazz,Drama|Fantasy|Musical,1979
Red Sorghum (Hong gao liang),Drama|War,1987
Crimes and Misdemeanors,Comedy|Crime|Drama,1989
Bats,Horror|Thriller,1999
"Best Man, The",Comedy|Drama,1999
Bringing Out the Dead,Drama,1999
Crazy in Alabama,Comedy|Drama,1999
Three to Tango,Comedy|Romance,1999
Body Shots,Drama,1999
"Guardian, The",Horror|Thriller,1990
"Ipcress File, The",Thriller,1965
On Any Sunday,Documentary,1971
RoboCop,Action|Crime|Drama|Sci-Fi|Thriller,1987
RoboCop 2,Action|Crime|Sci-Fi|Thriller,1990
Who Framed Roger Rabbit?,Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,1988
Melvin and Howard,Drama,1980
For Your Eyes Only,Action|Adventure|Thriller,1981
Licence to Kill,Action|Adventure|Thriller,1989
Live and Let Die,Action|Adventure|Thriller,1973
Rawhead Rex,Horror|Thriller,1986
Thunderball,Action|Adventure|Thriller,1965
House on Haunted Hill,Horror|Thriller,1999
Music of the Heart,Drama,1999
Being John Malkovich,Comedy|Drama|Fantasy,1999
Princess Mononoke (Mononoke-hime),Action|Adventure|Animation|Drama|Fantasy,1997
My Best Fiend (Mein liebster Feind),Documentary,1999
Train of Life (Train de vie),Comedy|Drama|Romance|War,1998
"Bachelor, The",Comedy|Romance,1999
"Bone Collector, The",Thriller,1999
"Insider, The",Drama|Thriller,1999
American Movie,Documentary,1999
Last Night,Drama|Sci-Fi,1998
Rosetta,Drama,1999
"They Shoot Horses, Don't They?",Drama,1969
Bride of Re-Animator,Comedy|Horror,1990
Bustin' Loose,Comedy,1981
Coma,Thriller,1978
Creepshow,Horror,1982
Creepshow 2,Horror,1987
Re-Animator,Comedy|Horror|Sci-Fi,1985
Drugstore Cowboy,Crime|Drama,1989
Falling Down,Action|Drama,1993
"Funhouse, The",Horror,1981
Piranha,Horror|Sci-Fi,1978
"Taming of the Shrew, The",Comedy,1967
Nighthawks,Action|Drama,1981
Yojimbo,Action|Adventure,1961
Repossessed,Comedy,1990
"Omega Man, The",Action|Drama|Sci-Fi|Thriller,1971
Spaceballs,Comedy|Sci-Fi,1987
Robin Hood,Adventure|Animation|Children|Comedy|Musical,1973
Mister Roberts,Comedy|Drama|War,1955
"Quest for Fire (Guerre du feu, La)",Adventure|Drama,1981
Little Big Man,Western,1970
"Face in the Crowd, A",Drama,1957
Trading Places,Comedy,1983
Meatballs,Comedy,1979
Meatballs Part II,Comedy,1984
Meatballs III,Comedy,1987
Meatballs 4,Comedy,1992
Dead Again,Mystery|Romance|Thriller,1991
Peter's Friends,Comedy|Drama,1992
"Incredibly True Adventure of Two Girls in Love, The",Comedy|Romance,1995
Under the Rainbow,Comedy,1981
Anywhere But Here,Comedy|Drama,1999
Dogma,Adventure|Comedy|Fantasy,1999
"Messenger: The Story of Joan of Arc, The",Drama|War,1999
Pokémon: The First Movie,Adventure|Animation|Children|Fantasy|Sci-Fi,1998
Felicia's Journey,Thriller,1999
Oxygen,Crime|Drama|Thriller,1999
Where's Marlowe?,Comedy,1998
"Commitments, The",Comedy|Drama|Musical,1991
Holiday Inn,Comedy|Musical,1942
"Longest Day, The",Action|Drama|War,1962
Poison Ivy,Drama|Thriller,1992
Poison Ivy: New Seduction,Drama|Thriller,1997
Tora! Tora! Tora!,Action|Drama|War,1970
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios),Comedy|Drama,1988
"Verdict, The",Drama|Mystery,1982
"Adventures of Buckaroo Banzai Across the 8th Dimension, The",Adventure|Comedy|Sci-Fi,1984
Stand and Deliver,Comedy|Drama,1988
Moonstruck,Comedy|Romance,1987
"Sandpiper, The",Drama|Romance,1965
Jeremiah Johnson,Western,1972
Repulsion,Drama|Horror,1965
Irma la Douce,Comedy,1963
42 Up,Documentary,1998
Liberty Heights,Drama,1999
Mansfield Park,Comedy|Drama|Romance,1999
Sleepy Hollow,Fantasy|Horror|Mystery|Romance,1999
"World Is Not Enough, The",Action|Adventure|Thriller,1999
All About My Mother (Todo sobre mi madre),Drama,1999
Scrooged,Comedy|Fantasy|Romance,1988
Harvey,Comedy|Fantasy,1950
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette),Drama,1948
Matewan,Drama,1987
Kagemusha,Drama|War,1980
McCabe & Mrs. Miller,Drama|Western,1971
Maurice,Drama|Romance,1987
"Grapes of Wrath, The",Drama,1940
"Shop Around the Corner, The",Comedy|Drama|Romance,1940
"Natural, The",Drama,1984
Shampoo,Comedy|Drama|Romance,1975
"River Runs Through It, A",Drama,1992
Fatal Attraction,Drama|Thriller,1987
Jagged Edge,Crime|Romance|Thriller,1985
Stanley & Iris,Drama|Romance,1990
Midnight Run,Action|Comedy|Crime|Thriller,1988
Awakenings,Drama|Mystery,1990
Come See the Paradise,Drama|Romance,1990
Backdraft,Action|Drama,1991
"Fisher King, The",Comedy|Drama|Fantasy|Romance,1991
"River, The",Drama,1984
Places in the Heart,Drama,1984
'night Mother,Drama,1986
End of Days,Action|Fantasy|Horror|Mystery|Thriller,1999
Toy Story 2,Adventure|Animation|Children|Comedy|Fantasy,1999
Flawless,Drama,1999
Ride with the Devil,Drama|Romance|War,1999
"Distinguished Gentleman, The",Comedy,1992
"End of the Affair, The",Drama,1999
Holy Smoke,Comedy|Drama,1999
Sweet and Lowdown,Comedy|Drama,1999
Bonfire of the Vanities,Comedy|Crime|Drama,1990
Daddy Long Legs,Comedy|Drama,1919
Grand Illusion (La grande illusion),Drama|War,1937
"Great Santini, The",Drama,1979
Stealing Home,Drama,1988
"Two Jakes, The",Drama,1990
U2: Rattle and Hum,Documentary|Musical,1988
Hell in the Pacific,Drama|War,1968
Cradle Will Rock,Drama,1999
Deuce Bigalow: Male Gigolo,Comedy,1999
"Green Mile, The",Crime|Drama,1999
"Cider House Rules, The",Drama,1999
"War Zone, The",Drama|Thriller,1999
"Last Picture Show, The",Drama,1971
"7th Voyage of Sinbad, The",Action|Adventure|Fantasy,1958
Anna and the King,Drama|Romance,1999
Bicentennial Man,Drama|Romance|Sci-Fi,1999
Stuart Little,Children|Comedy|Fantasy,1999
"Emperor and the Assassin, The (Jing ke ci qin wang)",Drama,1999
Fantasia 2000,Animation|Children|Musical|IMAX,1999
Magnolia,Drama,1999
Onegin,Drama|Romance,1999
Simpatico,Comedy|Drama,1999
Topsy-Turvy,Comedy|Drama|Musical,1999
Boiling Point,Action|Drama,1993
Carnal Knowledge,Comedy|Drama,1971
Easy Rider,Adventure|Drama,1969
The Falcon and the Snowman,Crime|Drama|Thriller,1985
Room at the Top,Drama,1959
Any Given Sunday,Drama,1999
Man on the Moon,Comedy|Drama,1999
Galaxy Quest,Adventure|Comedy|Sci-Fi,1999
"Talented Mr. Ripley, The",Drama|Mystery|Thriller,1999
Next Friday,Comedy,2000
"Hurricane, The",Drama,1999
Angela's Ashes,Drama,1999
Titus,Drama,1999
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",Documentary,1999
"Third Miracle, The",Drama,1999
Snow Falling on Cedars,Drama,1999
"Girl, Interrupted",Drama,1999
My Dog Skip,Children|Drama,1999
Supernova,Adventure|Sci-Fi|Thriller,2000
"Terrorist, The (a.k.a. Malli) (Theeviravaathi)",Drama,1998
"Way We Were, The",Drama|Romance,1973
Stalag 17,Drama|War,1953
"Presidio, The",Action|Crime|Romance|Thriller,1988
Papillon,Crime|Drama,1973
"Last Detail, The",Comedy|Drama,1973
Five Easy Pieces,Drama,1970
Dead Calm,Thriller,1989
"Boys from Brazil, The",Action|Mystery|Thriller,1978
Against All Odds,Romance,1984
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1),Action|Comedy,1993
Fast Times at Ridgemont High,Comedy|Drama|Romance,1982
"Cry in the Dark, A",Drama,1988
Batman: Mask of the Phantasm,Animation|Children,1993
American Flyers,Drama,1985
"Star Is Born, A",Drama,1937
Pacific Heights,Mystery|Thriller,1990
"Draughtsman's Contract, The",Drama,1982
"Zed & Two Noughts, A",Drama,1985
Woman in the Dunes (Suna no onna),Drama,1964
Down to You,Comedy|Romance,2000
"Odessa File, The",Thriller,1974
Where the Buffalo Roam,Comedy,1980
Eye of the Beholder,Thriller,1999
"Big Tease, The",Comedy,1999
"Cup, The (Phörpa)",Comedy,1999
Encino Man,Comedy,1992
"Goodbye Girl, The",Comedy|Romance,1977
Malcolm X,Drama,1992
Sister Act,Comedy|Crime,1992
Sister Act 2: Back in the Habit,Comedy,1993
"Hand That Rocks the Cradle, The",Drama|Thriller,1992
Alive,Drama,1993
Agnes of God,Drama|Mystery,1985
Scent of a Woman,Drama,1992
Wayne's World,Comedy,1992
Wayne's World 2,Comedy,1993
"League of Their Own, A",Comedy|Drama,1992
Patriot Games,Action|Crime|Drama|Thriller,1992
"Bodyguard, The",Drama|Romance|Thriller,1992
Death Becomes Her,Comedy|Fantasy,1992
Far and Away,Adventure|Drama|Romance,1992
Howards End,Drama,1992
Singles,Comedy|Drama|Romance,1992
Twin Peaks: Fire Walk with Me,Crime|Drama|Mystery|Thriller,1992
White Men Can't Jump,Comedy|Drama,1992
Buffy the Vampire Slayer,Action|Comedy|Horror,1992
Hard-Boiled (Lat sau san taam),Action|Crime|Drama|Thriller,1992
Man Bites Dog (C'est arrivé près de chez vous),Comedy|Crime|Drama|Thriller,1992
"Mariachi, El",Action|Crime|Thriller|Western,1992
Stop! Or My Mom Will Shoot,Action|Comedy,1992
Forever Young,Drama|Romance|Sci-Fi,1992
"Cutting Edge, The",Comedy|Drama|Romance,1992
Of Mice and Men,Drama,1992
Bad Lieutenant,Crime|Drama,1992
Scream 3,Comedy|Horror|Mystery|Thriller,2000
Single White Female,Drama|Thriller,1992
"Boondock Saints, The",Action|Crime|Drama|Thriller,2000
Gun Shy,Comedy,2000
"Baby, The",Horror,1973
"Brandon Teena Story, The",Documentary,1998
Minnie and Moskowitz,Action,1971
They Might Be Giants,Comedy|Mystery|Romance,1971
"Beach, The",Adventure|Drama,2000
Snow Day,Comedy,2000
"Tigger Movie, The",Animation|Children,2000
Not One Less (Yi ge dou bu neng shao),Drama,1999
Eaten Alive,Horror,1977
Raining Stones,Drama,1993
To Sir with Love,Drama,1967
Boiler Room,Crime|Drama|Thriller,2000
Hanging Up,Comedy|Drama,2000
Pitch Black,Horror|Sci-Fi|Thriller,2000
"Whole Nine Yards, The",Comedy|Crime,2000
Beautiful People,Comedy,1999
Black Tar Heroin: The Dark End of the Street,Documentary,2000
"Circus, The",Comedy,1928
City Lights,Comedy|Drama|Romance,1931
"Flamingo Kid, The",Comedy|Drama,1984
"Kid, The",Comedy|Drama,1921
Class Reunion,Comedy,1982
Happy Go Lovely,Musical,1951
Reindeer Games,Action|Thriller,2000
Wonder Boys,Comedy|Drama,2000
Chain of Fools,Comedy|Crime,2000
Drowning Mona,Comedy,2000
"Next Best Thing, The",Comedy|Drama,2000
What Planet Are You From?,Comedy|Sci-Fi,2000
Beyond the Mat,Documentary,1999
Ghost Dog: The Way of the Samurai,Crime|Drama,1999
The Year My Voice Broke,Drama|Romance,1987
Splendor in the Grass,Drama|Romance,1961
My Tutor,Drama,1983
Key Largo,Crime|Drama|Film-Noir|Thriller,1948
For All Mankind,Documentary,1989
Born Yesterday,Comedy,1950
Birdy,Drama|War,1984
Blood Feast,Horror,1963
"Charlie, the Lonesome Cougar",Adventure|Children,1967
Never Cry Wolf,Adventure|Drama,1983
"Raisin in the Sun, A",Drama,1961
"Closer You Get, The",Comedy|Romance,2000
Mission to Mars,Sci-Fi,2000
"Ninth Gate, The",Fantasy|Horror|Mystery|Thriller,1999
East-West (Est-ouest),Drama|Romance,1999
Defending Your Life,Comedy|Drama|Fantasy|Romance,1991
Breaking Away,Comedy|Drama,1979
Hoosiers (a.k.a. Best Shot),Drama|Romance,1986
Bull Durham,Comedy|Drama|Romance,1988
Dog Day Afternoon,Crime|Drama,1975
American Graffiti,Comedy|Drama,1973
"Asphalt Jungle, The",Crime|Film-Noir,1950
"Searchers, The",Drama|Western,1956
"Big Country, The",Romance|Western,1958
Betrayed,Drama|Thriller,1988
"Bridge at Remagen, The",Action|War,1969
Daughters of the Dust,Drama,1991
"Ogre, The (Unhold, Der)",Drama,1996
On the Beach,Drama,1959
"Taking of Pelham One Two Three, The",Action|Crime,1974
Volunteers,Comedy,1985
JFK,Drama|Mystery|Thriller,1991
Who's Harry Crumb?,Comedy|Mystery,1989
Harry and the Hendersons,Children|Comedy,1987
Let's Get Harry,Action|Adventure,1986
Shanghai Surprise,Adventure|Crime|Drama|Romance,1986
Who's That Girl?,Comedy,1987
She-Devil,Comedy,1989
Date with an Angel,Comedy|Fantasy|Romance,1987
Blind Date,Comedy|Romance,1987
Nadine,Comedy,1987
"Muppet Movie, The",Adventure|Children|Comedy|Musical,1979
"Great Muppet Caper, The",Children|Comedy,1981
"Muppets Take Manhattan, The",Children|Comedy|Musical,1984
We're Back! A Dinosaur's Story,Adventure|Animation|Children|Fantasy,1993
Baby... Secret of the Lost Legend,Adventure|Sci-Fi,1985
Turtle Diary,Comedy|Drama|Romance,1985
Raise the Titanic,Drama|Thriller,1980
"Night to Remember, A",Action|Drama,1958
Captain Horatio Hornblower R.N.,Action|Adventure|Drama|War,1951
Erin Brockovich,Drama,2000
Final Destination,Drama|Thriller,2000
Soft Fruit,Comedy|Drama,1999
"Bear, The (Ours, L')",Adventure|Children|Drama,1988
Love Is a Many-Splendored Thing,Drama|Romance|War,1955
"Mirror, The (Zerkalo)",Drama,1975
"Crimson Pirate, The",Adventure|Comedy,1952
Thelma & Louise,Adventure|Crime|Drama,1991
...And Justice for All,Drama|Thriller,1979
Animal House,Comedy,1978
She's Gotta Have It,Comedy|Romance,1986
School Daze,Drama,1988
Do the Right Thing,Drama,1989
Mo' Better Blues,Drama|Musical,1990
Jungle Fever,Drama|Romance,1991
"Champ, The",Drama,1979
Creature Comforts,Animation|Comedy,1989
Death Wish,Action|Crime|Drama,1974
Death Wish 2,Action|Drama,1982
Death Wish 3,Action|Drama,1985
Death Wish 4: The Crackdown,Action|Drama,1987
Death Wish 5: The Face of Death,Action|Drama,1994
Double Indemnity,Crime|Drama|Film-Noir,1944
Dying Young,Drama|Romance,1991
Teenage Mutant Ninja Turtles,Action|Children|Comedy|Fantasy|Sci-Fi,1990
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Action|Children|Fantasy,1991
Teenage Mutant Ninja Turtles III,Action|Adventure|Children|Comedy|Fantasy,1993
Red Dawn,Action|Drama|War,1984
Band of the Hand,Action|Crime|Drama,1986
Bloodsport,Action,1988
Eyes of Laura Mars,Mystery|Thriller,1978
Funny Bones,Comedy|Drama,1995
"Good Earth, The",Drama,1937
"Good Morning, Vietnam",Comedy|Drama|War,1987
"Good Mother, The",Drama,1988
Grumpy Old Men,Comedy,1993
Guess Who's Coming to Dinner,Drama,1967
Romeo Must Die,Action|Crime|Romance|Thriller,2000
Here on Earth,Drama|Romance,2000
Whatever It Takes,Comedy|Romance,2000
Buddy Boy,Drama|Thriller,1999
"Color of Paradise, The (Rang-e khoda)",Drama,1999
Gothic,Drama|Horror,1986
Lord of the Flies,Adventure|Drama|Thriller,1963
Modern Times,Comedy|Drama|Romance,1936
Heart and Souls,Comedy|Fantasy,1993
Hud,Drama|Western,1963
"Hustler, The",Drama,1961
Inherit the Wind,Drama,1960
Dersu Uzala,Adventure|Drama,1975
Close Encounters of the Third Kind,Adventure|Drama|Sci-Fi,1977
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000),Comedy,1976
Retroactive,Sci-Fi|Thriller,1997
"Place in the Sun, A",Drama|Romance,1951
Jacob's Ladder,Horror|Mystery,1990
Empire Records,Comedy|Drama,1995
"Bamba, La",Drama,1987
Ladyhawke,Adventure|Fantasy|Romance,1985
Lucas,Drama|Romance,1986
High Fidelity,Comedy|Drama|Romance,2000
"Road to El Dorado, The",Animation|Children,2000
"Skulls, The",Thriller,2000
Hook,Adventure|Comedy|Fantasy,1991
